age,height,weight,span,pullup reps,pushup reps,continuoushang,maxhang,weightedpull,repeaters1,powl,powr,max_boulder_numeric,bouldergrade_numeric,sex_encoded
31.0,62.0,130.0,64.0,11.0,18.0,28.0,10.0,35.0,35.0,28.735000000000003,28.75,2.0,4.0,0.0
16.0,68.0,145.0,69.0,16.0,21.0,59.4,95.0,85.0,136.0,32.77,33.0125,10.0,9.0,1.0
31.0,73.0,170.0,75.0,22.0,35.0,50.0,65.0,118.0,83.0,32.135000000000005,32.11,5.0,4.0,1.0
34.0,70.0,158.0,71.0,16.0,25.0,44.0,67.0,74.0,106.0,36.8,35.96,0.0,6.0,1.0
36.0,70.0,133.0,69.0,10.2,5.0,13.0,10.0,43.8,106.0,31.145,31.02,0.0,2.0,0.0
27.0,74.0,158.0,75.5,10.0,15.0,35.2,60.0,35.0,122.6,39.0,39.0,9.0,9.0,1.0
41.0,72.0,170.0,73.0,7.0,25.0,18.0,42.0,57.0,70.0,31.65,30.85,5.0,5.0,1.0
30.0,72.0,150.0,74.0,12.0,22.0,57.0,92.0,66.0,150.0,38.0,39.0,0.0,0.0,1.0
28.0,74.0,191.0,76.0,16.0,15.0,30.0,48.0,100.0,104.5,31.67,31.65,6.0,7.0,1.0
34.0,64.0,135.0,64.5,9.0,26.0,23.0,16.0,35.0,25.0,24.0,24.0,0.0,2.0,0.0
52.0,66.5,130.0,71.0,17.0,30.0,20.0,27.0,62.0,74.0,27.05,28.85,4.0,4.0,1.0
22.0,64.0,125.0,64.0,14.0,25.0,45.0,55.0,40.0,114.0,27.0,27.025,5.0,4.0,0.0
38.0,71.8,175.0,73.65,13.0,36.8,41.06,55.0,62.0,189.0,34.05,35.09,6.0,5.0,1.0
22.0,68.0,157.0,68.0,18.0,39.2,62.0,106.0,125.0,250.0,29.55,30.45,0.0,6.0,1.0
21.0,72.0,170.0,72.0,18.0,30.0,120.0,90.0,70.0,200.0,30.0,28.0,7.0,7.0,1.0
34.0,67.0,143.0,70.0,15.0,27.0,22.0,25.0,70.0,90.0,28.9565,29.225,7.0,5.0,1.0
31.0,66.0,130.0,64.0,21.0,52.0,55.0,85.0,110.0,126.0,29.325,29.73,10.0,9.0,1.0
43.0,70.0,144.0,69.0,13.0,20.0,45.0,108.0,78.0,136.0,32.625,32.225,11.0,8.0,1.0
19.0,65.0,125.0,64.7,6.0,8.0,42.0,40.0,35.0,73.0,32.025,31.625,4.0,4.0,0.0
27.0,70.0,165.0,70.0,22.0,51.0,42.0,65.0,85.0,75.0,28.4,29.360000000000003,5.0,5.0,1.0
26.0,66.0,135.0,67.0,12.0,20.0,45.0,60.0,55.0,75.0,26.7,27.55,5.0,5.0,0.0
25.0,68.5,152.0,68.0,18.0,30.0,35.0,70.0,89.0,203.0,29.175,31.130000000000003,6.0,6.0,1.0
